[2025-08-12T09:56:51.448Z] 🚀 Starting comprehensive App Store SPORTS app mapping...
[2025-08-12T09:56:51.450Z] 🍎 Target: Apple App Store apps in SPORTS category only
[2025-08-12T09:56:51.451Z] ⏰ Started at: 2025-08-12T09:56:51.448Z
[2025-08-12T09:56:51.453Z] 🍎 Starting comprehensive App Store SPORTS app collection...
[2025-08-12T09:56:51.453Z] 🌍 Searching across 1 countries: US
[2025-08-12T09:56:51.453Z] 
⏱️  TIME ESTIMATION:
[2025-08-12T09:56:51.453Z]    📋 Collection calls: 13 (1 countries × 13 collections)
[2025-08-12T09:56:51.454Z]    🔍 Search calls: 346 (1 countries × 346 search terms)
[2025-08-12T09:56:51.454Z]    🎯 Total API calls: 359
[2025-08-12T09:56:51.455Z]    ⌛ Estimated time: ~ 0 hours 18 minutes (1077 seconds)
[2025-08-12T09:56:51.456Z]    🚀 Starting collection process...

[2025-08-12T09:56:51.457Z] 
🌍 Processing country: US
[2025-08-12T09:56:51.458Z] 
📱 Processing SPORTS category in US...
[2025-08-12T09:56:51.459Z]   📋 Fetching from TOP_MAC in US...
[2025-08-12T09:56:51.886Z]   📋 Fetching from TOP_FREE_MAC in US...
[2025-08-12T09:56:53.254Z]     ✅ Added 100 new apps from TOP_FREE_MAC in US
[2025-08-12T09:56:54.260Z]   📋 Fetching from TOP_GROSSING_MAC in US...
[2025-08-12T09:56:56.086Z]     ✅ Added 84 new apps from TOP_GROSSING_MAC in US
[2025-08-12T09:56:57.094Z]   📋 Fetching from TOP_PAID_MAC in US...
[2025-08-12T09:56:58.309Z]     ✅ Added 100 new apps from TOP_PAID_MAC in US
[2025-08-12T09:56:59.320Z]   📋 Fetching from NEW_IOS in US...
[2025-08-12T09:57:00.129Z]     ✅ Added 100 new apps from NEW_IOS in US
[2025-08-12T09:57:01.135Z]   📋 Fetching from NEW_FREE_IOS in US...
[2025-08-12T09:57:02.119Z]     ✅ Added 11 new apps from NEW_FREE_IOS in US
[2025-08-12T09:57:03.129Z]   📋 Fetching from NEW_PAID_IOS in US...
[2025-08-12T09:57:03.886Z]     ✅ Added 99 new apps from NEW_PAID_IOS in US
[2025-08-12T09:57:04.902Z]   📋 Fetching from TOP_FREE_IOS in US...
[2025-08-12T09:57:06.107Z]     ✅ Added 55 new apps from TOP_FREE_IOS in US
[2025-08-12T09:57:07.112Z]   📋 Fetching from TOP_FREE_IPAD in US...
[2025-08-12T09:57:08.371Z]     ✅ Added 30 new apps from TOP_FREE_IPAD in US
[2025-08-12T09:57:09.386Z]   📋 Fetching from TOP_GROSSING_IOS in US...
[2025-08-12T09:57:10.712Z]     ✅ Added 0 new apps from TOP_GROSSING_IOS in US
[2025-08-12T09:57:11.722Z]   📋 Fetching from TOP_GROSSING_IPAD in US...
[2025-08-12T09:57:13.006Z]     ✅ Added 27 new apps from TOP_GROSSING_IPAD in US
[2025-08-12T09:57:14.013Z]   📋 Fetching from TOP_PAID_IOS in US...
[2025-08-12T09:57:15.208Z]     ✅ Added 0 new apps from TOP_PAID_IOS in US
[2025-08-12T09:57:16.215Z]   📋 Fetching from TOP_PAID_IPAD in US...
[2025-08-12T09:57:17.505Z]     ✅ Added 64 new apps from TOP_PAID_IPAD in US
[2025-08-12T09:57:18.520Z]   🔍 Searching with SPORTS specific terms in US...
[2025-08-12T09:57:18.521Z]     Searching: "football" in US
[2025-08-12T09:57:19.519Z]       ✅ Added 210 new apps from "football" in US
[2025-08-12T09:57:20.328Z]     Searching: "soccer" in US
[2025-08-12T09:57:21.577Z]       ✅ Added 105 new apps from "soccer" in US
